eo_number,title,date,president,url,status
14357,Executive Order 14357—Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,2025-11-04,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14357-modifying-duties-addressing-the-synthetic-opioid-supply-chain-the,ok
14358,Executive Order 14358—Modifying Reciprocal Tariff Rates Consistent With the Economic and Trade Arrangement Between the United States and the People's Republic of China,2025-11-04,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14358-modifying-reciprocal-tariff-rates-consistent-with-the-economic-and,ok
14356,Executive Order 14356—Ensuring Continued Accountability in Federal Hiring,2025-10-15,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14356-ensuring-continued-accountability-federal-hiring,ok
14355,Executive Order 14355—Unlocking Cures for Pediatric Cancer with Artificial Intelligence,2025-09-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14355-unlocking-cures-for-pediatric-cancer-with-artificial-intelligence,ok
14354,Executive Order 14354—Continuance of Certain Federal Advisory Committees,2025-09-29,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14354-continuance-certain-federal-advisory-committees,ok
14353,Executive Order 14353—Assuring the Security of the State of Qatar,2025-09-29,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14353-assuring-the-security-the-state-qatar,ok
14352,Executive Order 14352—Saving TikTok While Protecting National Security,2025-09-25,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14352-saving-tiktok-while-protecting-national-security,ok
14351,Executive Order 14351—The Gold Card,2025-09-19,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14351-the-gold-card,ok
14350,Executive Order 14350—Further Extending the TikTok Enforcement Delay,2025-09-16,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14350-further-extending-the-tiktok-enforcement-delay,ok
14349,Executive Order 14349—Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,2025-09-16,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14349-establishing-emergency-board-investigate-disputes-between-the-long,ok
14348,Executive Order 14348—Strengthening Efforts To Protect U.S. Nationals From Wrongful Detention Abroad,2025-09-05,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14348-strengthening-efforts-protect-us-nationals-from-wrongful-detention,ok
14346,Executive Order 14346—Modifying the Scope of Reciprocal Tariffs and Establishing Procedures for Implementing Trade and Security Agreements,2025-09-05,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14346-modifying-the-scope-reciprocal-tariffs-and-establishing-procedures,ok
14347,Executive Order 14347—Restoring the United States Department of War,2025-09-05,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14347-restoring-the-united-states-department-war,ok
14345,Executive Order 14345—Implementing the United States–Japan Agreement,2025-09-04,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14345-implementing-the-united-states-japan-agreement,ok
14344,Executive Order 14344—Making Federal Architecture Beautiful Again,2025-08-28,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14344-making-federal-architecture-beautiful-again,ok
14343,Executive Order 14343—Further Exclusions From the Federal Labor-Management Relations Program,2025-08-28,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14343-further-exclusions-from-the-federal-labor-management-relations,ok
14341,Executive Order 14341—Prosecuting Burning of the American Flag,2025-08-25,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14341-prosecuting-burning-the-american-flag,ok
14339,Executive Order 14339—Additional Measures To Address the Crime Emergency in the District of Columbia,2025-08-25,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14339-additional-measures-address-the-crime-emergency-the-district,ok
14340,Executive Order 14340—Measures To End Cashless Bail and Enforce the Law in the District of Columbia,2025-08-25,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14340-measures-end-cashless-bail-and-enforce-the-law-the-district-columbia,ok
14342,Executive Order 14342—Taking Steps To End Cashless Bail To Protect Americans,2025-08-25,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14342-taking-steps-end-cashless-bail-protect-americans,ok
14338,Executive Order 14338—Improving Our Nation Through Better Design,2025-08-21,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14338-improving-our-nation-through-better-design,ok
Executive Order 1433,Executive Order 14337—Revocation of Executive Order on Competition,,,https://www.presidency.ucsb.edu/documents/executive-order-14337-revocation-executive-order-competition,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14336,Executive Order 14336—Ensuring American Pharmaceutical Supply Chain Resilience by Filling the Strategic Active Pharmaceutical Ingredients Reserve,2025-08-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14336-ensuring-american-pharmaceutical-supply-chain-resilience-filling-the,ok
14335,Executive Order 14335—Enabling Competition in the Commercial Space Industry,2025-08-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14335-enabling-competition-the-commercial-space-industry,ok
14334,Executive Order 14334—Further Modifying Reciprocal Tariff Rates To Reflect Ongoing Discussions With the People's Republic of China,2025-08-11,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14334-further-modifying-reciprocal-tariff-rates-reflect-ongoing,ok
14333,Executive Order 14333—Declaring a Crime Emergency in the District of Columbia,2025-08-11,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14333-declaring-crime-emergency-the-district-columbia,ok
14332,Executive Order 14332—Improving Oversight of Federal Grantmaking,2025-08-07,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14332-improving-oversight-federal-grantmaking,ok
14330,Executive Order 14330—Democratizing Access to Alternative Assets for 401(k) Investors,2025-08-07,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14330-democratizing-access-alternative-assets-for-401k-investors,ok
14331,Executive Order 14331—Guaranteeing Fair Banking for All Americans,2025-08-07,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14331-guaranteeing-fair-banking-for-all-americans,ok
14329,Executive Order 14329—Addressing Threats to the United States by the Government of the Russian Federation,2025-08-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14329-addressing-threats-the-united-states-the-government-the-russian,ok
14328,Executive Order 14328—Establishing the White House Task Force on the 2028 Summer Olympics,2025-08-05,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14328-establishing-the-white-house-task-force-the-2028-summer-olympics,ok
Executive Order 1432,Executive Order 14325—Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,,,https://www.presidency.ucsb.edu/documents/executive-order-14325-amendment-duties-address-the-flow-illicit-drugs-across-our-northern,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14326,Executive Order 14326—Further Modifying the Reciprocal Tariff Rates,2025-07-31,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14326-further-modifying-the-reciprocal-tariff-rates,ok
14327,"Executive Order 14327—President's Council on Sports, Fitness, and Nutrition, and the Reestablishment of the Presidential Fitness Test",2025-07-31,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14327-presidents-council-sports-fitness-and-nutrition-and-the,ok
14323,Executive Order 14323—Addressing Threats to the United States by the Government of Brazil,2025-07-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14323-addressing-threats-the-united-states-the-government-brazil,ok
14324,Executive Order 14324—Suspending Duty-Free De Minimis Treatment for All Countries,2025-07-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14324-suspending-duty-free-de-minimis-treatment-for-all-countries,ok
14322,Executive Order 14322—Saving College Sports,2025-07-24,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14322-saving-college-sports,ok
14321,Executive Order 14321—Ending Crime and Disorder on America's Streets,2025-07-24,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14321-ending-crime-and-disorder-americas-streets,ok
14320,Executive Order 14320—Promoting the Export of the American AI Technology Stack,2025-07-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14320-promoting-the-export-the-american-ai-technology-stack,ok
14318,Executive Order 14318—Accelerating Federal Permitting of Data Center Infrastructure,2025-07-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14318-accelerating-federal-permitting-data-center-infrastructure,ok
14319,Executive Order 14319—Preventing Woke AI in the Federal Government,2025-07-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14319-preventing-woke-ai-the-federal-government,ok
14317,Executive Order 14317—Creating Schedule G in the Excepted Service,2025-07-17,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14317-creating-schedule-g-the-excepted-service,ok
14315,"Executive Order 14315—Ending Market Distorting Subsidies for Unreliable, Foreign-Controlled Energy Sources",2025-07-07,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14315-ending-market-distorting-subsidies-for-unreliable-foreign-controlled,ok
14316,Executive Order 14316—Extending the Modification of the Reciprocal Tariff Rates,2025-07-07,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14316-extending-the-modification-the-reciprocal-tariff-rates,ok
14313,Executive Order 14313—Establishing the President's Make America Beautiful Again Commission,2025-07-03,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14313-establishing-the-presidents-make-america-beautiful-again-commission,ok
Executive Order 1431,Executive Order 14314—Making America Beautiful Again by Improving Our National Parks,,,https://www.presidency.ucsb.edu/documents/executive-order-14314-making-america-beautiful-again-improving-our-national-parks,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14312,Executive Order 14312—Providing for the Revocation of Syria Sanctions,2025-06-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14312-providing-for-the-revocation-syria-sanctions,ok
14311,Executive Order 14311—Establishing a White House Office for Special Peace Missions,2025-06-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14311-establishing-white-house-office-for-special-peace-missions,ok
14310,Executive Order 14310—Further Extending the TikTok Enforcement Delay,2025-06-19,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14310-further-extending-the-tiktok-enforcement-delay,ok
14309,Executive Order 14309—Implementing the General Terms of the United States of America–United Kingdom Economic Prosperity Deal,2025-06-16,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14309-implementing-the-general-terms-the-united-states-america-united,ok
14308,Executive Order 14308—Empowering Commonsense Wildfire Prevention and Response,2025-06-12,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14308-empowering-commonsense-wildfire-prevention-and-response,ok
14304,Executive Order 14304—Leading the World in Supersonic Flight,2025-06-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14304-leading-the-world-supersonic-flight,ok
14305,Executive Order 14305—Restoring American Airspace Sovereignty,2025-06-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14305-restoring-american-airspace-sovereignty,ok
14307,Executive Order 14307—Unleashing American Drone Dominance,2025-06-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14307-unleashing-american-drone-dominance,ok
14306,Executive Order 14306—Sustaining Select Efforts To Strengthen the Nation's Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,2025-06-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14306-sustaining-select-efforts-strengthen-the-nations-cybersecurity-and,ok
14302,Executive Order 14302—Reinvigorating the Nuclear Industrial Base,2025-05-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14302-reinvigorating-the-nuclear-industrial-base,ok
14299,Executive Order 14299—Deploying Advanced Nuclear Reactor Technologies for National Security,2025-05-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14299-deploying-advanced-nuclear-reactor-technologies-for-national,ok
14301,Executive Order 14301—Reforming Nuclear Reactor Testing at the Department of Energy,2025-05-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14301-reforming-nuclear-reactor-testing-the-department-energy,ok
14300,Executive Order 14300—Ordering the Reform of the Nuclear Regulatory Commission,2025-05-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14300-ordering-the-reform-the-nuclear-regulatory-commission,ok
14303,Executive Order 14303—Restoring Gold Standard Science,2025-05-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14303-restoring-gold-standard-science,ok
14297,Executive Order 14297—Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,2025-05-12,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14297-delivering-most-favored-nation-prescription-drug-pricing-american,ok
14298,Executive Order 14298—Modifying Reciprocal Tariff Rates To Reflect Discussions With the People's Republic of China,2025-05-12,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14298-modifying-reciprocal-tariff-rates-reflect-discussions-with-the,ok
14295,Executive Order 14295—Increasing Efficiency at the Office of the Federal Register,2025-05-09,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14295-increasing-efficiency-the-office-the-federal-register,ok
14296,Executive Order 14296—Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,2025-05-09,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14296-keeping-promises-veterans-and-establishing-national-center-for,ok
14294,Executive Order 14294—Fighting Overcriminalization in Federal Regulations,2025-05-09,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14294-fighting-overcriminalization-federal-regulations,ok
